City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Whitehorse,CA,60.7161,-135.0538,50.77,34,75,8.99,broken clouds
79,Jiayuguan,CN,39.8167,98.3,47.62,24,0,6.82,clear sky
80,Lensk,RU,60.7253,114.9278,38.34,52,11,0.69,few clouds
81,Leningradskiy,RU,69.3833,178.4167,31.35,95,100,10.8,light snow
82,Oskemen,KZ,49.9565,82.6119,49.96,86,5,2.91,clear sky
83,Kloulklubed,PW,7.0419,134.2556,75.7,74,100,3.98,overcast clouds
84,Palmer,US,42.1584,-72.3287,89.53,36,90,4.0,overcast clouds
85,Beroroha,MG,-21.6667,45.1667,65.86,57,3,1.86,clear sky
86,Saldanha,ZA,-33.0117,17.9442,53.65,59,1,10.33,clear sky
87,Salalah,OM,17.0151,54.0924,84.29,84,20,4.61,few clouds
88,Hasaki,JP,35.7333,140.8333,61.29,84,100,14.79,overcast clouds
89,Jamestown,US,42.097,-79.2353,80.1,55,75,7.0,broken clouds
90,Egvekinot,RU,66.3167,-179.1667,28.56,94,100,2.8,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,71.89,78,75,8.05,broken clouds
92,Soligalich,RU,59.0778,42.2864,54.57,66,6,10.87,clear sky
93,Cape Town,ZA,-33.9258,18.4232,55.11,57,0,6.02,clear sky
94,Hualmay,PE,-11.0964,-77.6139,68.85,70,7,8.5,clear sky
95,Alice Springs,AU,-23.7,133.8833,47.75,48,88,6.76,overcast clouds
96,Clyde River,CA,70.4692,-68.5914,19.63,73,40,4.61,scattered clouds
97,Tasiilaq,GL,65.6145,-37.6368,30.36,80,100,6.46,overcast clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,59.09,62,90,13.0,light rain
99,Vardo,NO,70.3705,31.1107,34.61,62,100,25.84,overcast clouds
100,Olavarria,AR,-36.8927,-60.3225,52.02,98,100,7.0,moderate rain
101,Victoria,HK,22.2855,114.1577,86.32,83,100,5.99,overcast clouds
102,Saint George,US,37.1041,-113.5841,70.27,17,1,3.0,clear sky
103,Guerrero Negro,MX,27.9769,-114.0611,67.35,47,0,21.5,clear sky
104,Provideniya,RU,64.3833,-173.3,35.82,82,80,1.88,broken clouds
105,Atar,MR,20.5169,-13.0499,105.85,16,23,9.22,few clouds
106,Geraldton,AU,-28.7667,114.6,66.13,81,75,12.66,broken clouds
107,Hamilton,US,39.1834,-84.5333,85.23,52,1,1.01,clear sky
108,Upernavik,GL,72.7868,-56.1549,29.37,90,100,7.67,light snow
109,Mehamn,NO,71.0357,27.8492,33.91,57,97,20.51,overcast clouds
110,Koltubanovskiy,RU,52.9407,52.0269,70.88,54,88,8.14,overcast clouds
111,Nelson Bay,AU,-32.7167,152.15,53.69,89,45,9.93,scattered clouds
112,Arlit,NE,18.7369,7.3853,98.17,5,0,13.18,clear sky
113,Bilibino,RU,68.0546,166.4372,29.39,93,97,2.42,light snow
114,Sao Filipe,CV,14.8961,-24.4956,73.78,77,1,9.04,clear sky
115,Broome,US,42.2506,-75.833,82.78,54,75,4.0,broken clouds
116,Pentecoste,BR,-3.7928,-39.2703,82.67,65,83,7.09,broken clouds
117,Santa Flavia,IT,38.085,13.5351,76.73,43,64,13.0,broken clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,94.8,53,1,11.5,clear sky
119,Tiksi,RU,71.6872,128.8694,19.0,91,73,4.99,broken clouds
120,Faanui,PF,-16.4833,-151.75,81.23,74,18,14.23,few clouds
121,Izhma,RU,65.0083,53.9113,57.11,45,32,9.44,scattered clouds
122,Beloha,MG,-25.1667,45.05,64.96,77,93,5.7,overcast clouds
123,Mount Isa,AU,-20.7333,139.5,65.97,48,0,4.61,clear sky
124,Hibbing,US,47.4272,-92.9377,80.02,61,40,8.05,scattered clouds
125,Tacoronte,ES,28.4769,-16.4102,67.46,82,40,23.02,scattered clouds
126,Harelbeke,BE,50.8648,3.3108,55.11,84,100,1.01,light rain
127,Deputatskiy,RU,69.3,139.9,23.88,96,98,4.65,overcast clouds
128,Chokurdakh,RU,70.6333,147.9167,15.64,95,93,4.79,overcast clouds
129,Santo Antonio Do Ica,BR,-3.1022,-67.9397,84.96,77,44,3.04,scattered clouds
130,Porto Novo,BJ,6.4965,2.6036,80.42,78,100,11.56,overcast clouds
131,Mwinilunga,ZM,-11.7358,24.4293,59.16,59,5,4.45,clear sky
132,Torbay,CA,47.6666,-52.7314,66.97,39,75,26.46,broken clouds
133,Lompoc,US,34.6391,-120.4579,68.68,66,75,13.8,broken clouds
134,Ribeira Grande,PT,38.5167,-28.7,63.0,55,40,10.36,scattered clouds
135,Orissaare,EE,58.5592,23.0826,53.55,83,12,3.6,few clouds
136,Chumikan,RU,54.7183,135.315,34.2,99,100,6.93,moderate rain
137,Severo-Kurilsk,RU,50.6789,156.125,40.03,79,80,6.67,broken clouds
138,Cururupu,BR,-1.8283,-44.8683,86.11,64,100,6.89,overcast clouds
139,Grindavik,IS,63.8424,-22.4338,43.56,65,75,14.0,light rain
140,Airai,TL,-8.9266,125.4092,56.3,76,36,1.81,scattered clouds
141,Juneau,US,58.3019,-134.4197,48.25,95,90,4.0,overcast clouds
142,Remedios,CU,22.4947,-79.5458,83.32,67,79,19.91,broken clouds
143,Altay,CN,47.8667,88.1167,46.78,45,45,4.29,scattered clouds
144,Ancud,CL,-41.8697,-73.8203,57.42,79,96,7.16,overcast clouds
145,Roald,NO,62.5833,6.1333,64.45,71,40,18.41,scattered clouds
146,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,10.36,clear sky
147,Bontang,ID,0.1333,117.5,78.24,86,64,5.21,broken clouds
148,Santa Rosa De Cabal,CO,4.8681,-75.6214,76.24,71,40,3.44,scattered clouds
149,Piranhas,BR,-16.4269,-51.8222,91.22,34,100,7.16,overcast clouds
150,Westport,US,41.1415,-73.3579,91.18,45,100,8.14,overcast clouds
151,Kearney,US,40.6995,-99.0815,79.0,67,100,13.31,overcast clouds
152,Hukuntsi,BW,-24.0,21.75,55.33,24,0,8.84,clear sky
153,Saint-Denis,FR,48.9167,2.3333,57.85,65,75,4.0,broken clouds
154,Sumbe,AO,-11.2061,13.8437,77.95,85,100,7.18,overcast clouds
155,Dunedin,NZ,-45.8742,170.5036,44.8,84,0,4.0,clear sky
156,Cidreira,BR,-30.1811,-50.2056,68.38,75,57,11.88,broken clouds
157,Yatou,CN,37.15,122.3833,60.24,77,100,10.96,light rain
158,Sakakah,SA,29.9697,40.2064,89.17,21,0,18.79,clear sky
159,Biograd Na Moru,HR,43.9433,15.4519,68.76,56,100,19.71,overcast clouds
160,Angoram,PG,-4.0625,144.0661,75.24,98,100,0.85,overcast clouds
161,Mumford,GH,5.2618,-0.759,81.36,83,100,14.38,overcast clouds
162,Ust-Maya,RU,60.4167,134.5333,33.12,77,2,1.97,clear sky
163,Wanxian,CN,30.8039,108.3897,67.95,94,100,2.1,overcast clouds
164,Santa Maria,BR,-29.6842,-53.8069,63.7,67,75,13.09,broken clouds
