City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nikolskoye,RU,2021-05-21 14:22:05,59.7035,30.7861,55.4,77,97,11.21
68,Katangi,IN,2021-05-21 14:22:06,23.45,79.7833,90.05,28,4,6.51
69,Jutai,BR,2021-05-21 14:22:06,-5.1833,-68.9,81.84,80,40,2.89
70,Umm Kaddadah,SD,2021-05-21 14:22:07,13.6017,26.6876,103.59,8,10,7.92
71,Cap Malheureux,MU,2021-05-21 14:22:07,-19.9842,57.6142,72.46,70,39,5.01
72,Codrington,AU,2021-05-21 14:22:08,-38.2667,141.9667,50.02,75,3,8.7
73,Diamantino,BR,2021-05-21 14:22:08,-14.4086,-56.4461,85.8,49,100,6.73
74,Severo-Kurilsk,RU,2021-05-21 14:22:08,50.6789,156.125,37.45,96,98,17.11
75,Grindavik,IS,2021-05-21 14:22:09,63.8424,-22.4338,50.56,48,0,13.58
76,Tommot,RU,2021-05-21 14:22:09,58.9564,126.2925,36.18,77,100,1.66
77,Souillac,MU,2021-05-21 14:22:09,-20.5167,57.5167,72.36,68,75,22.46
78,Bengkulu,ID,2021-05-21 14:22:10,-3.8004,102.2655,77.99,90,49,2.91
79,Cidreira,BR,2021-05-21 14:22:10,-30.1811,-50.2056,63.64,78,99,12.64
80,Bambous Virieux,MU,2021-05-21 14:22:10,-20.3428,57.7575,72.21,66,75,22.39
81,Tasiilaq,GL,2021-05-21 14:22:11,65.6145,-37.6368,33.96,63,100,9.84
82,Iqaluit,CA,2021-05-21 14:22:11,63.7506,-68.5145,24.53,62,40,15.99
83,Yellowknife,CA,2021-05-21 14:22:12,62.456,-114.3525,41.32,52,20,1.99
84,Fernley,US,2021-05-21 14:21:53,39.608,-119.2518,40.57,86,87,5.99
85,Kavieng,PG,2021-05-21 14:22:12,-2.5744,150.7967,82.9,76,62,6.89
86,Arman,RU,2021-05-21 14:22:13,59.7,150.1667,36.0,91,17,1.54
87,Upernavik,GL,2021-05-21 14:22:13,72.7868,-56.1549,24.03,88,98,12.5
88,Bluff,NZ,2021-05-21 14:22:14,-46.6,168.3333,48.43,74,97,22.35
89,Yantal,RU,2021-05-21 14:22:14,56.8471,105.2542,38.23,45,97,5.23
90,Malinyi,TZ,2021-05-21 14:22:14,-8.9333,36.1333,80.92,62,2,0.94
91,Moryakovskiy Zaton,RU,2021-05-21 14:22:15,56.6956,84.6467,50.79,54,100,3.8
92,Pailon,BO,2021-05-21 14:22:15,-17.65,-62.75,83.68,59,56,17.49
93,Katakwi,UG,2021-05-21 14:22:15,1.8911,33.9661,80.67,61,70,3.87
94,Kangaatsiaq,GL,2021-05-21 14:22:16,68.3065,-53.4641,33.24,69,100,18.84
95,Kollam,IN,2021-05-21 14:20:56,8.8833,76.6,80.47,84,99,5.12
96,Adrar,MR,2021-05-21 14:22:16,20.5022,-10.0711,105.35,10,39,2.89
97,Saskylakh,RU,2021-05-21 14:22:17,71.9167,114.0833,13.87,98,48,3.2
98,Vilhena,BR,2021-05-21 14:18:40,-12.7406,-60.1458,80.82,74,20,10.36
99,Victoria,HK,2021-05-21 14:18:14,22.2855,114.1577,87.33,80,83,1.01
100,Nago,JP,2021-05-21 14:18:05,26.5881,127.9761,82.45,89,100,3.62
101,Marsh Harbour,BS,2021-05-21 14:22:18,26.5412,-77.0636,75.25,58,15,22.3
102,Catamarca,AR,2021-05-21 14:22:18,-28.4696,-65.7852,68.49,78,79,21.7
103,Tiksi,RU,2021-05-21 14:22:18,71.6872,128.8694,26.22,96,100,4.12
104,Shaki,AZ,2021-05-21 14:22:19,41.0833,47.1667,87.89,30,0,5.28
105,Atuona,PF,2021-05-21 14:22:19,-9.8,-139.0333,79.36,78,37,17.45
106,Bethel,US,2021-05-21 14:21:38,41.3712,-73.414,70.2,40,1,6.91
107,Thompson,CA,2021-05-21 14:22:20,55.7435,-97.8558,30.36,69,75,9.22
108,Tuktoyaktuk,CA,2021-05-21 14:22:20,69.4541,-133.0374,33.8,69,20,12.66
109,Harper,LR,2021-05-21 14:22:20,4.375,-7.7169,83.86,67,64,8.75
110,Mar Del Plata,AR,2021-05-21 14:20:05,-38.0023,-57.5575,64.09,41,75,17.0
111,Tenango,MX,2021-05-21 14:22:21,18.65,-98.1833,68.83,50,0,1.83
112,Tianjin,CN,2021-05-21 14:20:20,39.1422,117.1767,78.75,41,2,7.7
113,Longyearbyen,SJ,2021-05-21 14:22:22,78.2186,15.6401,26.44,74,75,3.44
114,Tazmalt,DZ,2021-05-21 14:22:22,36.3868,4.3989,87.4,27,100,11.34
115,Navoi,UZ,2021-05-21 14:22:23,40.0844,65.3792,85.48,16,20,18.95
116,Bathsheba,BB,2021-05-21 14:22:23,13.2167,-59.5167,86.61,70,40,20.62
117,Gambo,CF,2021-05-21 14:22:23,4.6482,22.2633,89.47,50,94,2.1
118,Tran,BG,2021-05-21 14:22:24,42.8353,22.6517,61.45,72,76,6.13
119,Da Nang,VN,2021-05-21 14:22:24,16.0678,108.2208,87.85,79,20,5.75
120,Te Anau,NZ,2021-05-21 14:22:25,-45.4167,167.7167,40.44,88,86,2.19
121,Nanakuli,US,2021-05-21 14:22:25,21.3906,-158.1547,73.35,73,40,12.62
122,Bredasdorp,ZA,2021-05-21 14:22:25,-34.5322,20.0403,58.28,63,54,13.58
123,Meulaboh,ID,2021-05-21 14:22:26,4.1363,96.1285,80.82,77,100,1.63
124,Linjiang,CN,2021-05-21 14:22:26,41.8069,126.9078,57.11,77,7,1.77
125,Mantua,IT,2021-05-21 14:22:27,45.1667,10.7833,77.09,38,100,8.01
126,Chuy,UY,2021-05-21 14:22:27,-33.6971,-53.4616,63.73,74,100,14.14
127,Carnarvon,AU,2021-05-21 14:22:27,-24.8667,113.6333,60.87,94,5,5.75
128,Riohacha,CO,2021-05-21 14:21:59,11.5444,-72.9072,85.93,64,64,14.65
129,Pevek,RU,2021-05-21 14:22:28,69.7008,170.3133,25.18,93,95,2.42
130,Ayan,RU,2021-05-21 14:22:28,56.45,138.1667,33.85,88,100,6.15
131,Freetown,SL,2021-05-21 14:22:29,8.484,-13.2299,84.92,71,96,11.48
132,Cockburn Town,TC,2021-05-21 14:22:29,21.4612,-71.1419,77.68,74,100,22.21
133,Ixtapa,MX,2021-05-21 14:22:29,20.7,-105.2,78.22,78,75,4.61
134,Vazante,BR,2021-05-21 14:22:30,-17.9869,-46.9078,83.07,31,0,3.36
135,Conakry,GN,2021-05-21 14:21:12,9.538,-13.6773,86.07,66,75,9.22
